Month,Cash Flow,YTD Earnings,Total Return
1,667.33,667.33,667.33
2,667.33,1334.67,1334.67
3,667.33,2002.0,2002.0
4,667.33,2669.33,2669.33
5,667.33,3336.67,3336.67
6,667.33,4004.0,4004.0
7,667.33,4671.33,4671.33
8,667.33,5338.67,5338.67
9,667.33,6006.0,6006.0
10,667.33,6673.33,6673.33
11,667.33,7340.67,7340.67
12,667.33,8008.0,8008.0
13,667.33,8675.33,8675.33
14,667.33,9342.67,9342.67
15,667.33,10010.0,10010.0
16,667.33,10677.33,10677.33
17,667.33,11344.67,11344.67
18,667.33,12012.0,12012.0
19,667.33,12679.34,12679.34
20,667.33,13346.67,13346.67
21,667.33,14014.0,14014.0
22,667.33,14681.34,14681.34
23,667.33,15348.67,15348.67
24,667.33,16016.0,16016.0
25,667.33,16683.34,16683.34
26,667.33,17350.67,17350.67
27,667.33,18018.0,18018.0
28,667.33,18685.34,18685.34
29,667.33,19352.67,19352.67
30,667.33,20020.0,20020.0
31,667.33,20687.34,20687.34
32,667.33,21354.67,21354.67
33,667.33,22022.0,22022.0
34,667.33,22689.34,22689.34
35,667.33,23356.67,23356.67
36,667.33,24024.0,24024.0
37,667.33,24691.34,24691.34
38,667.33,25358.67,25358.67
39,667.33,26026.0,26026.0
40,667.33,26693.34,26693.34
41,667.33,27360.67,27360.67
42,667.33,28028.0,28028.0
43,667.33,28695.34,28695.34
44,667.33,29362.67,29362.67
45,667.33,30030.0,30030.0
46,667.33,30697.34,30697.34
47,667.33,31364.67,31364.67
48,667.33,32032.0,32032.0
49,667.33,32699.34,32699.34
50,667.33,33366.67,33366.67
51,667.33,34034.0,34034.0
52,667.33,34701.34,34701.34
53,667.33,35368.67,35368.67
54,667.33,36036.01,36036.01
55,667.33,36703.34,36703.34
56,667.33,37370.67,37370.67
57,667.33,38038.01,38038.01
58,667.33,38705.34,38705.34
59,667.33,39372.67,39372.67
60,667.33,40040.01,40040.01
