Month,Cash Flow,Interest,Principal,Remaining Principal,YTD Earnings,Total Return
1,667.33,300.0,367.33,29632.67,667.33,667.33
2,667.33,296.33,371.01,29261.66,1334.67,1334.67
3,667.33,292.62,374.72,28886.94,2002.0,2002.0
4,667.33,288.87,378.46,28508.48,2669.33,2669.33
5,667.33,285.08,382.25,28126.23,3336.67,3336.67
6,667.33,281.26,386.07,27740.16,4004.0,4004.0
7,667.33,277.4,389.93,27350.23,4671.33,4671.33
8,667.33,273.5,393.83,26956.4,5338.67,5338.67
9,667.33,269.56,397.77,26558.63,6006.0,6006.0
10,667.33,265.59,401.75,26156.88,6673.33,6673.33
11,667.33,261.57,405.76,25751.11,7340.67,7340.67
12,667.33,257.51,409.82,25341.29,8008.0,8008.0
13,667.33,253.41,413.92,24927.37,8675.33,8675.33
14,667.33,249.27,418.06,24509.31,9342.67,9342.67
15,667.33,245.09,422.24,24087.07,10010.0,10010.0
16,667.33,240.87,426.46,23660.61,10677.33,10677.33
17,667.33,236.61,430.73,23229.88,11344.67,11344.67
18,667.33,232.3,435.03,22794.85,12012.0,12012.0
19,667.33,227.95,439.38,22355.46,12679.34,12679.34
20,667.33,223.55,443.78,21911.68,13346.67,13346.67
21,667.33,219.12,448.22,21463.47,14014.0,14014.0
22,667.33,214.63,452.7,21010.77,14681.34,14681.34
23,667.33,210.11,457.23,20553.54,15348.67,15348.67
24,667.33,205.54,461.8,20091.74,16016.0,16016.0
25,667.33,200.92,466.42,19625.33,16683.34,16683.34
26,667.33,196.25,471.08,19154.25,17350.67,17350.67
27,667.33,191.54,475.79,18678.46,18018.0,18018.0
28,667.33,186.78,480.55,18197.91,18685.34,18685.34
29,667.33,181.98,485.35,17712.55,19352.67,19352.67
30,667.33,177.13,490.21,17222.35,20020.0,20020.0
31,667.33,172.22,495.11,16727.24,20687.34,20687.34
32,667.33,167.27,500.06,16227.18,21354.67,21354.67
33,667.33,162.27,505.06,15722.11,22022.0,22022.0
34,667.33,157.22,510.11,15212.0,22689.34,22689.34
35,667.33,152.12,515.21,14696.79,23356.67,23356.67
36,667.33,146.97,520.37,14176.42,24024.0,24024.0
37,667.33,141.76,525.57,13650.85,24691.34,24691.34
38,667.33,136.51,530.82,13120.03,25358.67,25358.67
39,667.33,131.2,536.13,12583.9,26026.0,26026.0
40,667.33,125.84,541.49,12042.4,26693.34,26693.34
41,667.33,120.42,546.91,11495.49,27360.67,27360.67
42,667.33,114.95,552.38,10943.11,28028.0,28028.0
43,667.33,109.43,557.9,10385.21,28695.34,28695.34
44,667.33,103.85,563.48,9821.73,29362.67,29362.67
45,667.33,98.22,569.12,9252.61,30030.0,30030.0
46,667.33,92.53,574.81,8677.81,30697.34,30697.34
47,667.33,86.78,580.56,8097.25,31364.67,31364.67
48,667.33,80.97,586.36,7510.89,32032.0,32032.0
49,667.33,75.11,592.22,6918.66,32699.34,32699.34
50,667.33,69.19,598.15,6320.52,33366.67,33366.67
51,667.33,63.21,604.13,5716.39,34034.0,34034.0
52,667.33,57.16,610.17,5106.22,34701.34,34701.34
53,667.33,51.06,616.27,4489.95,35368.67,35368.67
54,667.33,44.9,622.43,3867.52,36036.01,36036.01
55,667.33,38.68,628.66,3238.86,36703.34,36703.34
56,667.33,32.39,634.94,2603.91,37370.67,37370.67
57,667.33,26.04,641.29,1962.62,38038.01,38038.01
58,667.33,19.63,647.71,1314.91,38705.34,38705.34
59,667.33,13.15,654.18,660.73,39372.67,39372.67
60,667.33,6.61,660.73,0.0,40040.01,40040.01
